state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
MT,NA,Greg Gianforte,R,true,0.8233,51.13,47.07,55.09,house,1,TRUE
NC,NA,G.K. Butterfield,D,true,1,72.62,67.99,77.17,house,1,TRUE
NC,NA,George Holding,R,true,0.8569,51.92,47.86,55.94,house,2,TRUE
NC,NA,Walter B. Jones,R,true,1,100,100,100,house,3,TRUE
NC,NA,David Price,D,true,1,74.9,70.34,79.43,house,4,TRUE
NC,NA,Virginia Foxx,R,true,0.9825,58.36,53.52,63.28,house,5,TRUE
NC,NA,Mark Walker,R,true,0.9555,56.82,51.77,61.86,house,6,TRUE
NC,NA,David Rouzer,R,true,0.9495,54.55,49.76,59.29,house,7,TRUE
NC,NA,Richard Hudson,R,true,0.9318,55.44,50.81,60.05,house,8,TRUE
NC,NA,Dan McCready,D,false,0.5496,48.83,45.04,52.56,house,9,FALSE
NC,NA,Patrick T. McHenry,R,true,0.9985,62.05,57.53,66.59,house,10,TRUE
NC,NA,Mark Meadows,R,true,0.9979,60.41,55.56,65.24,house,11,TRUE
NC,NA,Alma Adams,D,true,1,72.84,68.41,77.28,house,12,TRUE
NC,NA,Ted Budd,R,true,0.6499,49.6,45.52,53.68,house,13,TRUE
ND,NA,Kelly Armstrong,R,false,0.9993,58.36,54.14,62.5,house,1,TRUE
NE,NA,Jeff Fortenberry,R,true,0.9986,60.99,56.9,65.18,house,1,TRUE
NE,NA,Don Bacon,R,true,0.6772,51.51,47.1,55.92,house,2,TRUE
NE,NA,Adrian Smith,R,true,1,71.93,67.21,76.64,house,3,TRUE
NH,NA,Chris Pappas,D,false,0.9222,52.76,48.59,56.85,house,1,TRUE
NH,NA,Ann Kuster,D,true,0.998,58.4,54.29,62.45,house,2,TRUE
NJ,NA,Donald Norcross,D,true,1,67.5,62.71,72.24,house,1,TRUE
NJ,NA,Jeff Van Drew,D,false,0.9864,55.54,51.23,59.82,house,2,TRUE
NJ,NA,Andy Kim,D,false,0.6289,49.71,45.9,53.46,house,3,TRUE
NJ,NA,Chris Smith,R,true,0.9748,55.69,50.57,60.82,house,4,TRUE
NJ,NA,Josh Gottheimer,D,true,0.9862,56.97,52.12,61.75,house,5,TRUE
NJ,NA,Frank Pallone Jr.,D,true,0.9999,68.53,63.89,73.14,house,6,TRUE
NJ,NA,Tom Malinowski,D,false,0.7512,50.7,46.41,54.92,house,7,TRUE
NJ,NA,Albio Sires,D,true,1,78.84,74,83.64,house,8,TRUE
NJ,NA,Bill Pascrell Jr.,D,true,1,72.25,67.38,77.03,house,9,TRUE
NJ,NA,Donald Payne Jr.,D,true,1,84.86,80.48,89.19,house,10,TRUE
NJ,NA,Mikie Sherrill,D,false,0.861,52,47.48,56.45,house,11,TRUE
NJ,NA,Bonnie Watson Coleman,D,true,1,72.08,67.51,76.64,house,12,TRUE
NM,NA,Debra A. Haaland,D,false,0.9931,56.26,51.74,60.72,house,1,TRUE
NM,NA,Xochitl Torres Small,D,false,0.5222,50.15,46.34,53.96,house,2,TRUE
NM,NA,Ben R. Lujan,D,true,0.9998,61.39,57.02,65.72,house,3,TRUE
NV,NA,Dina Titus,D,true,1,66.34,61.52,71.18,house,1,TRUE
NV,NA,Mark Amodei,R,true,0.9986,59.9,56.07,63.74,house,2,TRUE
NV,NA,Susie Lee,D,false,0.8813,51.22,47.04,55.33,house,3,TRUE
NV,NA,Steven A. Horsford,D,false,0.8934,52,47.31,56.67,house,4,TRUE
NY,NA,Lee Zeldin,R,true,0.9596,54.36,50.12,58.64,house,1,TRUE
