score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
114,123,Timberwolves,Trail Blazers,51,49
113,102,Celtics,Clippers,34,66
105,99,Kings,Magic,23,77
108,109,Nets,Thunder,14,86
102,114,Cavaliers,Spurs,31,69
107,108,Celtics,Lakers,56,44
112,123,Knicks,Warriors,10,90
107,112,Kings,Hornets,14,86
90,104,Jazz,Hawks,53,47
128,132,Bulls,Pelicans,24,76
90,99,Heat,Rockets,19,81
101,105,76ers,Grizzlies,53,47
105,109,Suns,Bucks,24,76
75,98,Wizards,Mavericks,47,53
101,104,Trail Blazers,Nuggets,33,67
126,118,Timberwolves,Clippers,44,56
103,95,Magic,Celtics,13,87
107,127,Knicks,Lakers,42,58
101,100,Nets,Pistons,26,74
94,86,Pacers,Spurs,25,75
148,124,Thunder,Cavaliers,39,61
113,97,Bulls,Hawks,42,58
104,111,Grizzlies,Pelicans,20,80
106,105,Heat,Hornets,29,71
94,116,Bucks,76ers,31,69
108,116,Warriors,Rockets,48,52
113,125,Clippers,Jazz,50,50
109,115,Raptors,Timberwolves,36,64
108,117,Mavericks,Trail Blazers,28,72
83,86,Spurs,Raptors,29,71
95,101,Heat,Nets,55,45
88,106,Kings,Grizzlies,22,78
122,112,Wizards,Pistons,38,62
108,100,Suns,Nuggets,15,85
86,99,Pacers,Lakers,46,54
117,115,Knicks,Jazz,26,74
103,104,Magic,Cavaliers,14,86
89,80,76ers,Celtics,26,74
98,116,Timberwolves,Rockets,33,67
86,100,Pacers,Trail Blazers,37,63
109,133,Wizards,Hornets,38,62
91,96,Pistons,Raptors,19,81
93,94,Pelicans,Hawks,54,46
100,95,Spurs,Nets,64,36
119,112,Warriors,Bulls,78,22
90,114,Lakers,Thunder,15,85
106,101,Heat,Bucks,37,63
99,105,Knicks,Grizzlies,39,61
120,105,Jazz,Kings,60,40
104,109,Nuggets,Clippers,26,74
102,108,Timberwolves,Magic,75,25
116,113,Pelicans,Celtics,28,72
102,105,Mavericks,Nuggets,23,77
111,118,Suns,Trail Blazers,21,79
118,107,Hornets,Pistons,34,66
111,117,Raptors,76ers,58,42
104,95,Bucks,Wizards,25,75
119,104,Knicks,Nets,33,67
99,102,Spurs,Hawks,68,32
111,119,Heat,Bulls,43,57
114,123,Lakers,Grizzlies,36,64
