href,id,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
https://api.spotify.com/v1/artists/6y80I9YZi4DOpbaSUlL725,6y80I9YZi4DOpbaSUlL725,Shlohmo,58,artist,spotify:artist:6y80I9YZi4DOpbaSUlL725,https://open.spotify.com/artist/6y80I9YZi4DOpbaSUlL725,NA,200546
https://api.spotify.com/v1/artists/5juOkIIy18sFw9L30syt1Z,5juOkIIy18sFw9L30syt1Z,Washed Out,60,artist,spotify:artist:5juOkIIy18sFw9L30syt1Z,https://open.spotify.com/artist/5juOkIIy18sFw9L30syt1Z,NA,372310
https://api.spotify.com/v1/artists/3VwKSHAfgzV1DOHV0aANCI,3VwKSHAfgzV1DOHV0aANCI,TOKiMONSTA,61,artist,spotify:artist:3VwKSHAfgzV1DOHV0aANCI,https://open.spotify.com/artist/3VwKSHAfgzV1DOHV0aANCI,NA,222492
https://api.spotify.com/v1/artists/5gqhueRUZEa7VDnQt4HODp,5gqhueRUZEa7VDnQt4HODp,Nils Frahm,67,artist,spotify:artist:5gqhueRUZEa7VDnQt4HODp,https://open.spotify.com/artist/5gqhueRUZEa7VDnQt4HODp,NA,394485
https://api.spotify.com/v1/artists/6X8lhZ7YaRUBlOsOYimlyD,6X8lhZ7YaRUBlOsOYimlyD,Kiasmos,58,artist,spotify:artist:6X8lhZ7YaRUBlOsOYimlyD,https://open.spotify.com/artist/6X8lhZ7YaRUBlOsOYimlyD,NA,172376
https://api.spotify.com/v1/artists/5muFO8VqYRCRW13EkvX564,5muFO8VqYRCRW13EkvX564,Âme,48,artist,spotify:artist:5muFO8VqYRCRW13EkvX564,https://open.spotify.com/artist/5muFO8VqYRCRW13EkvX564,NA,81474
https://api.spotify.com/v1/artists/44zcDDVZOY0ck7KECNUPK1,44zcDDVZOY0ck7KECNUPK1,Dominik Eulberg,49,artist,spotify:artist:44zcDDVZOY0ck7KECNUPK1,https://open.spotify.com/artist/44zcDDVZOY0ck7KECNUPK1,NA,88726
https://api.spotify.com/v1/artists/0WSSKmoRbxqLf3MnXInQ2J,0WSSKmoRbxqLf3MnXInQ2J,Max Cooper,53,artist,spotify:artist:0WSSKmoRbxqLf3MnXInQ2J,https://open.spotify.com/artist/0WSSKmoRbxqLf3MnXInQ2J,NA,92885
https://api.spotify.com/v1/artists/12tZvy2xFpWSkuJ3FsfisZ,12tZvy2xFpWSkuJ3FsfisZ,Weval,55,artist,spotify:artist:12tZvy2xFpWSkuJ3FsfisZ,https://open.spotify.com/artist/12tZvy2xFpWSkuJ3FsfisZ,NA,102151
https://api.spotify.com/v1/artists/2exkZbmNqMKnT8LRWuxWgy,2exkZbmNqMKnT8LRWuxWgy,Moderat,60,artist,spotify:artist:2exkZbmNqMKnT8LRWuxWgy,https://open.spotify.com/artist/2exkZbmNqMKnT8LRWuxWgy,NA,473024
https://api.spotify.com/v1/artists/2jYMYP2SVifgmzNRQJx3SJ,2jYMYP2SVifgmzNRQJx3SJ,Modeselektor,51,artist,spotify:artist:2jYMYP2SVifgmzNRQJx3SJ,https://open.spotify.com/artist/2jYMYP2SVifgmzNRQJx3SJ,NA,166189
https://api.spotify.com/v1/artists/5lsC3H1vh9YSRQckyGv0Up,5lsC3H1vh9YSRQckyGv0Up,Ellen Allien,44,artist,spotify:artist:5lsC3H1vh9YSRQckyGv0Up,https://open.spotify.com/artist/5lsC3H1vh9YSRQckyGv0Up,NA,104685
https://api.spotify.com/v1/artists/4O71i7ke5iIBX6RNSFoZbS,4O71i7ke5iIBX6RNSFoZbS,trentemøller,54,artist,spotify:artist:4O71i7ke5iIBX6RNSFoZbS,https://open.spotify.com/artist/4O71i7ke5iIBX6RNSFoZbS,NA,271234
https://api.spotify.com/v1/artists/4CvTDPKA6W06DRfBnZKrau,4CvTDPKA6W06DRfBnZKrau,Thom Yorke,62,artist,spotify:artist:4CvTDPKA6W06DRfBnZKrau,https://open.spotify.com/artist/4CvTDPKA6W06DRfBnZKrau,NA,532530
https://api.spotify.com/v1/artists/2CKaDZ1Yo8YnWega9IeUzB,2CKaDZ1Yo8YnWega9IeUzB,Booka Shade,54,artist,spotify:artist:2CKaDZ1Yo8YnWega9IeUzB,https://open.spotify.com/artist/2CKaDZ1Yo8YnWega9IeUzB,NA,149056
https://api.spotify.com/v1/artists/3Dw9w3jnmr58ocgxiwITcq,3Dw9w3jnmr58ocgxiwITcq,Rone,54,artist,spotify:artist:3Dw9w3jnmr58ocgxiwITcq,https://open.spotify.com/artist/3Dw9w3jnmr58ocgxiwITcq,NA,111006
https://api.spotify.com/v1/artists/1YvN5uOGQkHVUUlZUcnotD,1YvN5uOGQkHVUUlZUcnotD,John Talabot,41,artist,spotify:artist:1YvN5uOGQkHVUUlZUcnotD,https://open.spotify.com/artist/1YvN5uOGQkHVUUlZUcnotD,NA,100940
https://api.spotify.com/v1/artists/6pohviZSNRueSX7uNu63ZX,6pohviZSNRueSX7uNu63ZX,Moodymann,51,artist,spotify:artist:6pohviZSNRueSX7uNu63ZX,https://open.spotify.com/artist/6pohviZSNRueSX7uNu63ZX,NA,87296
https://api.spotify.com/v1/artists/2sAlo7Fey5cqBk5WJILSd8,2sAlo7Fey5cqBk5WJILSd8,Onra,51,artist,spotify:artist:2sAlo7Fey5cqBk5WJILSd8,https://open.spotify.com/artist/2sAlo7Fey5cqBk5WJILSd8,NA,103387
https://api.spotify.com/v1/artists/2wouN3QXejYa5tKetYdcVX,2wouN3QXejYa5tKetYdcVX,Com Truise,54,artist,spotify:artist:2wouN3QXejYa5tKetYdcVX,https://open.spotify.com/artist/2wouN3QXejYa5tKetYdcVX,NA,180294
https://api.spotify.com/v1/artists/7MSUfLeTdDEoZiJPDSBXgi,7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,66,artist,spotify:artist:7MSUfLeTdDEoZiJPDSBXgi,https://open.spotify.com/artist/7MSUfLeTdDEoZiJPDSBXgi,NA,399650
