"","x"
"2309",-0.0497458440168255
"2310",-0.0433009234352555
"2311",-0.0538693213222615
"2312",-0.0588244137250076
"2313",-0.0689967762447647
"2314",-0.0438741775546818
"2315",-0.0421578808000422
"2316",-0.0395362355027268
"2317",-0.0373604721316032
"2318",-0.0397644235218994
"2319",-0.0550594325501052
"2320",-0.0514853195845481
"2321",-0.0552021522317903
"2322",-0.0521724278011039
"2323",-0.045927316176869
"2324",-0.0473114386080949
"2325",-0.0463971839049585
"2326",-0.0395994375553803
"2327",-0.0589288517614444
"2328",-0.0561703058091642
"2329",-0.047709601221347
"2330",-0.0376925576787639
"2331",-0.0538482764628744
"2332",-0.0541017915520553
"2333",-0.0516264028168949
"2334",-0.0532315160205057
"2335",-0.0587978250510059
"2336",-0.0417422052066258
"2337",-0.0536673058446042
"2338",-0.052775783107745
"2339",-0.0514033256175026
"2340",-0.0583450364592774
"2341",-0.0522296891757227
"2342",-0.0440360466037864
"2343",-0.0513788409833044
"2344",-0.0437565133946234
"2345",-0.0555159027314943
"2346",-0.0492331521704989
"2347",-0.0476887136943709
"2348",-0.0636880754742931
"2349",-0.0519182559207466
"2350",-0.0519775311572357
"2351",-0.0574677681362549
"2352",-0.0513261638095899
"2353",-0.0460466461515789
"2354",-0.0441050435060361
"2355",-0.0487154486540543
"2356",-0.0537391780334342
"2357",-0.0436358467975919
"2358",-0.044100595102235
"2359",-0.0480947460308521
"2360",-0.0450189187313212
"2361",-0.0490923611563593
"2362",-0.055788071219685
"2363",-0.0510217132564162
"2364",-0.0367580076251217
"2365",-0.0395169575608998
"2366",-0.0640741221842791
"2367",-0.0537741618578136
"2368",-0.0558067101007482
"2369",-0.0507738981461943
"2370",-0.0550054558257233
"2371",-0.0429346734172807
"2372",-0.0407277486624233
"2373",-0.0463032923718982
"2374",-0.0504633103835322
"2375",-0.0350573379589203
"2376",-0.0562939110058666
"2377",-0.05547287009542
"2378",-0.0587410940653057
"2379",-0.0498554898889703
"2380",-0.0408620385817721
"2381",-0.0445829585771358
"2382",-0.0437737169611549
"2383",-0.0428007108197651
"2384",-0.0611310993751654
"2385",-0.0595151753696217
"2386",-0.0463701596419998
"2387",-0.0533984926775061
"2388",-0.048634275053042
"2389",-0.0481899692777419
"2390",-0.0508791504520256
"2391",-0.0554680931934081
"2392",-0.0511194988408638
"2393",-0.0520240739760785
"2394",-0.0440014781159302
"2395",-0.0546921836847006
"2396",-0.0498455883860249
"2397",-0.0474302730244709
"2398",-0.045440727509939
"2399",-0.0615581468039576
"2400",-0.045392073153574
"2401",-0.0432720800493092
"2402",-0.0499363928432536
"2403",-0.0582159234821727
"2404",-0.0506982266803924
"2405",-0.0532368288922327
"2406",-0.0518432844221809
"2407",-0.0391369903884356
"2408",-0.0463857355473326
"2409",-0.0548942819719517
"2410",-0.053952245157271
"2411",-0.0545869937264966
"2412",-0.0487404121114768
"2413",-0.0508194961416885
"2414",-0.0438564797703022
"2415",-0.051389230042173
"2416",-0.0392731366655249
"2417",-0.0406457387512789
"2418",-0.0534432021217121
"2419",-0.0489411207362253
"2420",-0.0540154847373326
"2421",-0.0674603669428888
"2422",-0.0386954149507908
"2423",-0.0373918769714108
"2424",-0.049090431552695
"2425",-0.0353442444199558
"2426",-0.0362996753037039
"2427",-0.0415531056273334
"2428",-0.0505421035270094
"2429",-0.0515682290547471
"2430",-0.0483304129423393
"2431",-0.0536921881235866
"2432",-0.0345893411589469
"2433",-0.0485011331592277
"2434",-0.0380107041952796
"2435",-0.0444472665254854
"2436",-0.0456659802921015
"2437",-0.0414679187019029
"2438",-0.0322856064273928
"2439",-0.0303588910524561
"2440",-0.0501505500126841
"2441",-0.0576255610396021
"2442",-0.0606425461915661
"2443",-0.0579110003390246
"2444",-0.0502351243395912
"2445",-0.052539083007919
"2446",-0.0548069800906054
"2447",-0.0545939002499232
"2448",-0.0486386281299657
"2449",-0.055804619462905
"2450",-0.0598994790817388
"2451",-0.045562650798876
"2452",-0.0497848290005979
"2453",-0.0507782735981972
"2454",-0.0518777241307337
"2455",-0.049076583113888
"2456",-0.0421746587796597
"2457",-0.0401261980206598
"2458",-0.0558975518635216
"2459",-0.0470867361494422
"2460",-0.049740026941641
