date,keyword,hits
2016-04-01T05:00:00Z,misty,37
2016-05-01T05:00:00Z,misty,40
2016-06-01T05:00:00Z,misty,41
2016-07-01T05:00:00Z,misty,49
2016-08-01T05:00:00Z,misty,43
2016-09-01T05:00:00Z,misty,47
2016-10-01T05:00:00Z,misty,48
2008-11-01T05:00:00Z,now,33
2008-12-01T06:00:00Z,now,21
2009-01-01T06:00:00Z,now,37
2009-02-01T06:00:00Z,now,32
2009-03-01T06:00:00Z,now,79
2009-04-01T05:00:00Z,now,85
2009-05-01T05:00:00Z,now,30
2009-06-01T05:00:00Z,now,78
2009-07-01T05:00:00Z,now,46
2009-08-01T05:00:00Z,now,52
2009-09-01T05:00:00Z,now,47
2009-10-01T05:00:00Z,now,35
2009-11-01T05:00:00Z,now,58
2009-12-01T06:00:00Z,now,69
2010-01-01T06:00:00Z,now,22
2010-02-01T06:00:00Z,now,55
2010-03-01T06:00:00Z,now,56
2010-04-01T05:00:00Z,now,39
2010-05-01T05:00:00Z,now,100
2010-06-01T05:00:00Z,now,39
2010-07-01T05:00:00Z,now,60
2010-08-01T05:00:00Z,now,68
2010-09-01T05:00:00Z,now,70
2010-10-01T05:00:00Z,now,52
2010-11-01T05:00:00Z,now,45
2010-12-01T06:00:00Z,now,36
2011-01-01T06:00:00Z,now,74
2011-02-01T06:00:00Z,now,53
2011-03-01T06:00:00Z,now,60
2011-04-01T05:00:00Z,now,59
2011-05-01T05:00:00Z,now,61
2011-06-01T05:00:00Z,now,54
2011-07-01T05:00:00Z,now,66
2011-08-01T05:00:00Z,now,62
2011-09-01T05:00:00Z,now,54
2011-10-01T05:00:00Z,now,56
2011-11-01T05:00:00Z,now,53
2011-12-01T06:00:00Z,now,50
2012-01-01T06:00:00Z,now,46
2012-02-01T06:00:00Z,now,52
2012-03-01T06:00:00Z,now,36
2012-04-01T05:00:00Z,now,63
2012-05-01T05:00:00Z,now,53
2012-06-01T05:00:00Z,now,47
2012-07-01T05:00:00Z,now,49
2012-08-01T05:00:00Z,now,42
2012-09-01T05:00:00Z,now,60
2012-10-01T05:00:00Z,now,57
2012-11-01T05:00:00Z,now,56
2012-12-01T06:00:00Z,now,58
2013-01-01T06:00:00Z,now,66
2013-02-01T06:00:00Z,now,51
2013-03-01T06:00:00Z,now,58
2013-04-01T05:00:00Z,now,51
2013-05-01T05:00:00Z,now,59
2013-06-01T05:00:00Z,now,56
2013-07-01T05:00:00Z,now,55
2013-08-01T05:00:00Z,now,58
2013-09-01T05:00:00Z,now,62
2013-10-01T05:00:00Z,now,60
2013-11-01T05:00:00Z,now,58
2013-12-01T06:00:00Z,now,46
2014-01-01T06:00:00Z,now,58
2014-02-01T06:00:00Z,now,73
2014-03-01T06:00:00Z,now,55
2014-04-01T05:00:00Z,now,66
2014-05-01T05:00:00Z,now,62
2014-06-01T05:00:00Z,now,46
2014-07-01T05:00:00Z,now,58
2014-08-01T05:00:00Z,now,56
2014-09-01T05:00:00Z,now,52
2014-10-01T05:00:00Z,now,67
2014-11-01T05:00:00Z,now,48
2014-12-01T06:00:00Z,now,63
2015-01-01T06:00:00Z,now,53
2015-02-01T06:00:00Z,now,49
2015-03-01T06:00:00Z,now,49
2015-04-01T05:00:00Z,now,27
2015-05-01T05:00:00Z,now,59
2015-06-01T05:00:00Z,now,62
2015-07-01T05:00:00Z,now,68
2015-08-01T05:00:00Z,now,61
2015-09-01T05:00:00Z,now,52
2015-10-01T05:00:00Z,now,50
2015-11-01T05:00:00Z,now,59
2015-12-01T06:00:00Z,now,54
2016-01-01T06:00:00Z,now,68
2016-02-01T06:00:00Z,now,75
2016-03-01T06:00:00Z,now,68
2016-04-01T05:00:00Z,now,67
2016-05-01T05:00:00Z,now,60
2016-06-01T05:00:00Z,now,73
2016-07-01T05:00:00Z,now,77
2016-08-01T05:00:00Z,now,94
2016-09-01T05:00:00Z,now,93
2016-10-01T05:00:00Z,now,86
2008-11-01T05:00:00Z,tareyton,53
2008-12-01T06:00:00Z,tareyton,68
2009-01-01T06:00:00Z,tareyton,32
2009-02-01T06:00:00Z,tareyton,91
2009-03-01T06:00:00Z,tareyton,100
